Iframe,Redirect,having_Sub_Domain,Domain_registeration_length,Favicon,URL_Length,Result
1,0,-1,-1,1,1,-1
1,0,0,-1,1,1,-1
1,0,-1,-1,1,0,-1
1,0,-1,1,1,0,-1
1,0,1,-1,1,0,1
1,0,1,-1,1,0,1
1,0,-1,1,1,0,-1
1,0,-1,1,1,0,-1
1,0,1,-1,1,0,1
1,0,-1,-1,1,1,-1
1,0,0,1,1,1,1
1,0,1,-1,1,1,-1
1,0,0,1,1,1,-1
1,0,0,1,1,1,-1
1,0,-1,-1,1,1,1
1,0,0,1,1,-1,-1
1,0,1,-1,1,-1,-1
1,0,-1,1,1,-1,-1
1,0,-1,1,1,1,1
-1,0,-1,-1,1,1,1
1,0,0,-1,1,0,1
1,0,0,1,1,0,1
1,0,-1,-1,1,1,1
1,0,1,-1,1,1,1
1,0,1,-1,1,-1,1
1,0,0,-1,1,-1,1
1,0,0,1,1,-1,-1
1,0,-1,1,1,-1,1
1,1,-1,-1,1,-1,1
1,0,-1,-1,1,-1,1
1,0,-1,-1,1,-1,1
-1,0,-1,-1,-1,-1,1
1,0,1,-1,1,-1,1
1,0,-1,-1,1,0,1
1,0,0,1,1,0,-1
1,0,-1,-1,1,0,-1
-1,0,-1,-1,-1,0,-1
1,0,-1,1,-1,0,-1
1,0,-1,-1,1,1,1
1,0,0,-1,1,-1,1
1,0,1,-1,1,-1,1
1,1,1,-1,1,-1,1
1,0,-1,1,-1,-1,-1
1,0,0,1,-1,-1,-1
1,0,0,-1,1,-1,-1
1,0,0,-1,-1,1,1
1,0,-1,-1,1,1,1
1,0,-1,-1,1,-1,-1
1,0,-1,-1,1,-1,-1
1,0,1,-1,1,-1,1
1,0,1,-1,1,-1,-1
-1,0,1,-1,-1,1,1
1,0,-1,-1,1,-1,1
1,0,1,1,1,-1,-1
1,0,0,1,-1,-1,-1
1,0,0,-1,-1,-1,-1
1,0,1,1,1,-1,1
1,0,1,-1,-1,-1,1
1,0,-1,-1,-1,-1,-1
1,0,0,-1,-1,-1,-1
1,0,1,1,1,-1,-1
1,0,1,-1,1,-1,-1
1,0,0,-1,1,1,1
-1,0,-1,-1,-1,-1,-1
1,1,1,-1,-1,1,1
1,0,0,1,1,-1,1
1,1,-1,-1,-1,1,-1
1,0,0,1,1,-1,-1
1,0,-1,-1,1,-1,1
1,0,-1,1,1,-1,-1
1,0,1,-1,1,-1,1
1,0,1,-1,1,-1,1
1,0,-1,-1,1,-1,-1
1,0,-1,-1,1,-1,1
1,0,0,-1,1,-1,-1
1,1,1,1,1,-1,-1
1,1,0,1,-1,-1,1
1,1,1,-1,-1,-1,1
1,0,-1,-1,1,-1,-1
1,1,-1,-1,1,-1,1
1,0,0,1,1,-1,-1
1,0,0,-1,1,1,1
1,0,-1,-1,1,-1,1
1,0,1,-1,1,1,1
1,0,1,-1,-1,1,1
1,0,0,-1,1,-1,-1
1,0,1,-1,-1,-1,-1
1,0,-1,-1,-1,1,1
1,0,1,-1,1,-1,1
1,0,0,-1,1,1,-1
1,0,1,-1,1,-1,-1
1,0,1,1,1,-1,1
1,0,1,-1,1,-1,1
1,0,-1,-1,1,-1,-1
1,0,1,-1,1,-1,1
1,0,-1,1,1,-1,-1
1,0,1,-1,1,-1,-1
1,0,-1,-1,1,1,-1
1,1,-1,-1,-1,-1,-1
1,0,1,-1,1,-1,1
1,0,-1,-1,1,-1,-1
1,0,-1,1,1,-1,-1
1,0,0,1,1,-1,1
1,0,-1,1,1,-1,-1
1,0,-1,-1,1,-1,1
1,0,-1,-1,1,-1,-1
1,0,-1,-1,1,-1,-1
1,0,1,-1,1,-1,-1
1,0,0,-1,1,-1,1
1,0,-1,1,1,-1,-1
1,0,1,-1,1,-1,1
1,0,-1,1,1,-1,-1
1,0,1,-1,1,-1,-1
1,0,-1,-1,1,-1,1
1,0,-1,-1,-1,1,-1
1,0,0,-1,-1,-1,1
1,1,1,-1,1,1,-1
1,0,0,1,1,-1,-1
1,0,1,-1,1,-1,1
1,0,1,-1,-1,-1,1
1,0,-1,1,1,-1,1
1,0,0,-1,1,-1,1
1,0,0,-1,1,1,1
1,0,-1,-1,1,-1,1
1,0,-1,1,-1,-1,-1
-1,0,0,-1,-1,1,1
1,0,0,-1,1,-1,1
1,0,1,-1,-1,1,1
1,0,0,1,1,-1,1
1,1,-1,-1,1,-1,-1
1,1,-1,1,1,-1,-1
1,0,-1,1,1,-1,1
1,1,1,-1,1,-1,-1
1,0,-1,1,1,-1,1
1,0,0,1,1,-1,-1
1,1,1,-1,1,-1,1
1,0,-1,-1,1,-1,-1
1,0,1,-1,1,-1,1
1,0,0,1,1,-1,-1
1,1,-1,-1,1,-1,-1
1,0,-1,-1,1,-1,-1
1,0,0,-1,1,1,-1
1,0,1,-1,-1,-1,-1
1,0,1,1,1,-1,-1
1,0,-1,1,1,1,-1
1,0,-1,1,1,-1,-1
1,0,-1,-1,1,-1,-1
1,0,0,1,1,-1,1
1,0,-1,-1,1,-1,1
1,0,1,-1,1,1,1
1,1,-1,-1,1,1,1
1,0,1,-1,1,-1,1
1,0,-1,-1,-1,-1,1
1,0,-1,-1,1,-1,1
1,0,-1,1,1,-1,-1
1,0,1,-1,1,-1,1
1,1,-1,-1,-1,-1,-1
1,0,0,-1,1,-1,-1
1,0,0,1,-1,-1,1
1,0,0,-1,1,-1,1
1,0,1,-1,-1,-1,1
